Parameter,CHF,Cardiac Tamponade,Pulmonary Embolism,Pleural Effusion,Myocardial Infarction,Aortic Aneurysm/Dissection,Benign
age,0.7,0.4,0.3,0.6,0.8,0.8,0.2
sex,0.3,0.4,0.2,0.4,0.5,0.6,0.3
ethnicity,0.2,0.2,0.3,0.3,0.3,0.5,0.2
hypertension,0.7,0.5,0.3,0.6,0.8,0.9,0.2
hypotension,0.2,0.8,0.4,0.2,0.4,0.3,0.2
diabetes,0.2,0.2,0.4,0.3,0.5,0.5,0.2
coronary_artery_disease,0.8,0.3,0.3,0.7,0.7,0.7,0.1
heart_failure,0.8,0.8,0.5,0.8,0.8,0.6,0.2
atrial_fibrillation,0.6,0.5,0.4,0.6,0.8,0.7,0.2
chronic_kidney_disease,0.3,0.3,0.3,0.4,0.3,0.4,0.4
history_of_stroke,0.3,0.3,0.3,0.4,0.7,0.6,0.3
history_of_dvt_or_pe,0.2,0.2,0.6,0.4,0.3,0.4,0.2
history_of_malignancy,0.2,0.3,0.5,0.3,0.4,0.4,0.3
connective_tissue_disorder,0.2,0.2,0.3,0.4,0.4,0.7,0.2
smoking_history,0.1,0.2,0.4,0.3,0.3,0.4,0.2
alcohol_use,0.1,0.2,0.3,0.2,0.3,0.3,0.2
drug_use,0.2,0.3,0.6,0.4,0.5,0.6,0.3
recent_surgery_or_immobility,0.5,0.4,0.7,0.4,0.4,0.3,0.1
chest_trauma,0.3,0.85,0.2,0.9,0.2,0.75,0.2
chest_pain,0.7,0.3,0.4,0.7,0.7,0.8,0.2
dyspnea,0.5,0.6,0.6,0.8,0.3,0.4,0.1
orthopnea,0.5,0.2,0.1,0.5,0.2,0.1,0.1
syncope,0.5,0.6,0.4,0.5,0.5,0.8,0.3
pleuritic_pain,0.2,0.3,0.4,0.8,0.3,0.2,0.1
fatigue,0.2,0.3,0.3,0.3,0.3,0.3,0.2
palpitations,0.8,0.7,0.4,0.7,0.6,0.6,0.3
hemoptysis,0.3,0.4,0.8,0.6,0.3,0.4,0.2
peripheral_edema,0.6,0.3,0.4,0.7,0.3,0.3,0.2
dizziness,0.2,0.3,0.4,0.3,0.4,0.4,0.2
restlessness_anxiety,0.5,0.5,0.7,0.7,0.4,0.5,0.2
productive_cough,0.5,0.3,0.5,0.8,0.4,0.5,0.2
jugular_vein_distention,0.95,0.95,0.5,0.3,0.3,0.3,0.1
chest_pain_onset,0.3,0.3,0.5,0.3,0.7,0.8,0.1
dyspnea_onset,0.6,0.5,0.6,0.6,0.5,0.3,0.2
orthopnea_onset,0.7,0.2,0.3,0.5,0.2,0.1,0.2
syncope_onset,0.4,0.7,0.4,0.3,0.5,0.4,0.1
pleuritic_pain_onset,0.2,0.2,0.8,0.5,0.2,0.2,0.1
fatigue_onset,0.5,0.4,0.5,0.5,0.5,0.3,0.3
palpitations_onset,0.5,0.5,0.4,0.2,0.7,0.2,0.2
hemoptysis_onset,0.3,0.3,0.8,0.2,0.2,0.2,0.2
peripheral_edema_onset,0.8,0.6,0.3,0.4,0.4,0.2,0.2
dizziness_onset,0.4,0.8,0.4,0.3,0.3,0.6,0.2
restlessness_anxiety_onset,0.3,0.5,0.3,0.1,0.3,0.5,0.2
productive_cough_onset,0.6,0.2,0.4,0.5,0.2,0.2,0.2
jugular_vein_distention_onset,0.8,0.9,0.5,0.2,0.2,0.2,0.1
blood_pressure,0.5,0.9,0.4,0.5,0.3,0.3,0.3
heart_rate,0.5,0.4,0.4,0.4,0.4,0.3,0.3
respiratory_rate,0.5,0.4,0.6,0.6,0.5,0.4,0.3
oxygen_saturation,0.4,0.6,0.4,0.4,0.4,0.3,0.3
recent_travel,0.4,0.2,0.5,0.3,0.3,0.2,0.2
infection,0.5,0.2,0.3,0.8,0.4,0.4,0.3
